ENTITY TYPE,X Coordinate,Y Coordinate,Z Coordinate
POINT:
Properties:,Layer:,KnownPoints,Colour:,2,
  VERTEX:,-253.06,360.08,27.15
POINT:
Properties:,Layer:,KnownPoints,Colour:,2,
  VERTEX:,-216.23,349.57,13.99
POINT:
Properties:,Layer:,KnownPoints,Colour:,2,
  VERTEX:,-183.78,326.79,-11.92
POINT:
Properties:,Layer:,KnownPoints,Colour:,2,
  VERTEX:,-165.36,301.39,-3.03
POINT:
Properties:,Layer:,KnownPoints,Colour:,2,
  VERTEX:,-167.12,270.73,15.58
POINT:
Properties:,Layer:,KnownPoints,Colour:,2,
  VERTEX:,-182.9,246.2,15.56
POINT:
Properties:,Layer:,KnownPoints,Colour:,2,
  VERTEX:,-214.47,225.18,10.4
POINT:
Properties:,Layer:,KnownPoints,Colour:,2,
  VERTEX:,-251.31,227.81,0
3DPOLYLINE (closed):
Properties:,Layer:,3DGeometry,Colour:,1,
  VERTEX:,-238.7,-95.85,-54.21
  VERTEX:,-56.18,74.2,133.54
  VERTEX:,-5.24,74.2,160.48
  VERTEX:,91.64,74.2,186.42
  VERTEX:,152.57,74.2,172.45
  VERTEX:,224.48,74.2,149.51
  VERTEX:,259.44,74.2,114.59
  VERTEX:,343.33,74.2,120.57
  VERTEX:,416.24,74.2,134.54
  VERTEX:,474.17,74.2,120.57
  VERTEX:,525.11,74.2,108.6
  VERTEX:,567.06,74.2,94.63
  VERTEX:,610,74.2,80.67
  VERTEX:,665.94,74.2,68.7
  VERTEX:,745.81,-95.85,-53.34
END OF 3DPOLYLINE
3DPOLYLINE (closed):
Properties:,Layer:,3DGeometry,Colour:,1,
  VERTEX:,-202.22,-42.59,-54.21
  VERTEX:,-19.69,127.46,133.54
  VERTEX:,31.24,127.46,160.48
  VERTEX:,128.13,127.46,186.42
  VERTEX:,189.05,127.46,172.45
  VERTEX:,260.96,127.46,149.51
  VERTEX:,295.92,127.46,114.59
  VERTEX:,379.81,127.46,120.57
  VERTEX:,452.73,127.46,134.54
  VERTEX:,510.65,127.46,120.57
  VERTEX:,561.59,127.46,108.6
  VERTEX:,603.54,127.46,94.63
  VERTEX:,646.49,127.46,80.67
  VERTEX:,702.42,127.46,68.7
  VERTEX:,782.3,-42.59,-53.34
END OF 3DPOLYLINE
3DPOLYLINE (closed):
Properties:,Layer:,3DGeometry,Colour:,1,
  VERTEX:,-148.9,54.12,-54.21
  VERTEX:,33.63,224.17,133.54
  VERTEX:,84.56,224.17,160.48
  VERTEX:,181.45,224.17,186.42
  VERTEX:,242.37,224.17,172.45
  VERTEX:,314.28,224.17,149.51
  VERTEX:,349.24,224.17,114.59
  VERTEX:,433.14,224.17,120.57
  VERTEX:,506.05,224.17,134.54
  VERTEX:,563.97,224.17,120.57
  VERTEX:,614.91,224.17,108.6
  VERTEX:,656.86,224.17,94.63
  VERTEX:,699.81,224.17,80.67
  VERTEX:,755.74,224.17,68.7
  VERTEX:,835.62,54.12,-53.34
END OF 3DPOLYLINE
3DPOLYLINE (closed):
Properties:,Layer:,3DGeometry,Colour:,1,
  VERTEX:,-130.66,40.1,-54.21
  VERTEX:,51.87,210.15,133.54
  VERTEX:,102.81,210.15,160.48
  VERTEX:,199.69,210.15,186.42
  VERTEX:,260.61,210.15,172.45
  VERTEX:,332.52,210.15,149.51
  VERTEX:,367.48,210.15,114.59
  VERTEX:,451.38,210.15,120.57
  VERTEX:,524.29,210.15,134.54
  VERTEX:,582.22,210.15,120.57
